YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,COUNTRY,STATE,LATITUDE,LONGITUDE,DEATHS,Depth
1999,1.0,25.0,18.0,19.0,16.8,6.2,COLOMBIA,no info,4.461,-75.72399999999999,1185.0,17.0
1999,2.0,1.0,23.0,57.0,52.9,3.2,RUSSIA,no info,42.961999999999996,46.95399999999999,0.0,33.0
1999,2.0,2.0,13.0,45.0,16.8,4.8,SPAIN,no info,38.193000000000005,-1.5659999999999998,0.0,10.0
1999,2.0,11.0,14.0,8.0,51.6,6.0,AFGHANISTAN,no info,34.259,69.36399999999999,70.0,33.0
1999,3.0,4.0,5.0,38.0,26.5,6.6,IRAN,no info,28.343000000000004,57.193000000000005,1.0,33.0
1999,3.0,11.0,13.0,18.0,9.3,5.1,CHINA,no info,41.131,114.65799999999999,0.0,33.0
1999,3.0,28.0,19.0,5.0,11.0,6.6,INDIA,no info,30.511999999999997,79.403,100.0,15.0
1999,4.0,3.0,6.0,17.0,18.3,6.8,PERU,no info,-16.66,-72.66199999999999,1.0,87.0
1999,5.0,6.0,23.0,0.0,53.1,6.2,IRAN,no info,29.500999999999998,51.88,26.0,33.0
1999,6.0,4.0,9.0,12.0,50.0,5.4,AZERBAIJAN,no info,40.802,47.448,1.0,33.0
1999,6.0,15.0,20.0,42.0,5.9,7.0,MEXICO,no info,18.386,-97.436,20.0,70.0
1999,6.0,21.0,17.0,43.0,4.5,6.3,MEXICO,no info,18.324,-101.539,0.0,69.0
1999,7.0,11.0,14.0,14.0,16.5,6.7,GUATEMALA,no info,15.782,-88.33,2.0,10.0
1999,7.0,22.0,10.0,42.0,11.7,4.2,BANGLADESH,no info,21.544,91.895,6.0,10.0
1999,8.0,17.0,0.0,1.0,39.1,7.6,TURKEY,no info,40.76,29.97,17118.0,13.0
1999,8.0,31.0,8.0,10.0,49.5,5.2,TURKEY,no info,40.711,29.949,1.0,10.0
1999,9.0,7.0,11.0,56.0,49.3,6.0,GREECE,no info,38.119,23.605,143.0,10.0
1999,9.0,13.0,11.0,55.0,28.1,5.8,TURKEY,no info,40.709,30.045,7.0,13.0
1999,9.0,20.0,17.0,47.0,18.4,7.7,TAIWAN,no info,23.772,120.98200000000001,2297.0,33.0
1999,9.0,25.0,23.0,52.0,48.6,6.5,TAIWAN,no info,23.738000000000003,121.15799999999999,0.0,17.0
1999,9.0,30.0,16.0,31.0,15.6,7.5,MEXICO,no info,16.059,-96.931,35.0,61.0
1999,10.0,16.0,9.0,46.0,44.1,7.2,USA,CA,34.594,-116.271,0.0,0.0
1999,10.0,22.0,2.0,18.0,58.5,5.9,TAIWAN,no info,23.445,120.506,1.0,33.0
1999,10.0,31.0,13.0,27.0,42.4,4.4,PERU,no info,-13.64,-74.43,0.0,62.0
1999,11.0,1.0,13.0,25.0,16.5,5.3,CHINA,no info,39.899,113.98299999999999,0.0,10.0
1999,11.0,11.0,14.0,41.0,25.6,5.7,TURKEY,no info,40.744,30.266,2.0,22.0
1999,11.0,12.0,16.0,57.0,19.5,7.2,TURKEY,no info,40.758,31.160999999999998,894.0,10.0
1999,11.0,24.0,16.0,40.0,21.2,4.6,CHINA,no info,24.589000000000002,102.87200000000001,1.0,33.0
1999,11.0,26.0,4.0,27.0,24.7,5.3,IRAN,no info,36.92,54.9,0.0,33.0
1999,11.0,26.0,13.0,21.0,15.5,7.5,VANUATU,no info,-16.423,168.21400000000003,5.0,33.0
1999,11.0,29.0,4.0,10.0,40.9,5.0,CHINA,no info,40.459,122.889,0.0,10.0
1999,12.0,3.0,17.0,6.0,54.7,5.7,TURKEY,no info,40.358000000000004,42.346000000000004,1.0,19.0
1999,12.0,11.0,18.0,3.0,36.4,7.3,PHILIPPINES,no info,15.765999999999998,119.74,5.0,33.0
1999,12.0,21.0,14.0,14.0,57.6,6.5,INDONESIA,no info,-6.845,105.555,5.0,56.0
1999,12.0,22.0,17.0,36.0,56.2,5.6,ALGERIA,no info,35.321,-1.281,24.0,10.0
2000,1.0,3.0,22.0,34.0,12.6,4.6,INDIA,no info,22.131999999999998,92.771,0.0,33.0
2000,1.0,11.0,23.0,43.0,56.4,5.1,CHINA,no info,40.498000000000005,122.994,0.0,10.0
2000,1.0,14.0,23.0,37.0,7.8,5.9,CHINA,no info,25.607,101.06299999999999,5.0,33.0
2000,2.0,2.0,22.0,58.0,1.5,5.3,IRAN,no info,35.288000000000004,58.218,1.0,33.0
